Region,District,Chiefdom,Health Facility,Community
Southern,Bo,Bo City Council,Bo Government Hospital,Bo City Communities
Western,Western Area Urban,Freetown City Council,Connaught Hospital,Central 2 Communities
Eastern,Kailahun,Luawa Chiefdom,Kailahun Government Hospital,Luawa Communities
Northern,Bombali,Makeni City Council,Makeni Government Hospital,Makeni City Communities
Northwest,Kambia,Magbema Chiefdom,Kambia Government Hospital,Magbema Communities
Southern,Bonthe,Bonthe Municipal Council,Bonthe Government Hospital,Bonthe Town Communities
Eastern,Kenema,Kenema City Council,Kenema Government Hospital,Kenema City Communities
Northern,Tonkolili,Kholifa Rowalla Chiefdom,Magburaka Government Hospital,Kholifa Rowalla Communities
Western,Western Area Rural,Waterloo Rural Zone,Sierra Leone-China Teaching Hospital,Waterloo Rural Communities
Northwest,Port Loko,Port Loko City Council,Port Loko Government Hospital,Port Loko City Communities
Eastern,Kono,Koidu New Sembehun City Council,Koidu Government Hospital,Koidu City Communities
Northern,Falaba,Sulima Chiefdom,Falaba CHC,Sulima Communities
Northwest,Karene,Sella Limba Chiefdom,Kamakwie Wesleyan Hospital,Sella Limba Communities
Southern,Bo,Bo City Council,Agape Way CHC,Bo City Communities
Eastern,Kailahun,Kissi Tongi Chiefdom,Buedu CHC,Kissi Tongi Communities
Northern,Koinadugu,Wara Wara Yagala Chiefdom,Kabala Government Hospital,Wara Wara Yagala Communities
Western,Western Area Urban,Freetown City Council,Ola During Children's Hospital,East 1 Communities
Northwest,Kambia,Samu Chiefdom,Kassirie CHC,Samu Communities
Southern,Pujehun,Kpanga Chiefdom,Pujehun Government Hospital,Kpanga Communities
Eastern,Kenema,Kenema City Council,Ahmadiyya Muslim (Nongowa) Hospital,Kenema City Communities
Northern,Bombali,Biriwa Chiefdom,Kamabai CHC,Biriwa Communities
Western,Western Area Rural,York Rural Zone,Emergency (Goderich) Hospital,York Rural Communities
Northwest,Port Loko,Kaffu Bullom Chiefdom,Bai Bureh Memorial Hospital,Kaffu Bullom Communities
Southern,Moyamba,Kaiyamba Chiefdom,Moyamba Government Hospital,Kaiyamba Communities
Eastern,Kailahun,Njaluahun Chiefdom,Nixon Hospital,Njaluahun Communities
Northern,Tonkolili,Yoni Mamala Chiefdom,Yonibana Sai Hospital,Yoni Mamala Communities
Northwest,Karene,Sanda Loko Chiefdom,Kamalo CHC,Sanda Loko Communities
Western,Western Area Urban,Freetown City Council,Rokupa Government Hospital,East 3 Communities
Eastern,Kono,Koidu New Sembehun City Council,Hussein Mackie Memorial Hospital,Koidu City Communities
Southern,Bo,Badjia Chiefdom,Ngelehun (Badjia) CHC,Badjia Communities
Northern,Falaba,Barawa Wollay Chiefdom,Firawa CHC,Barawa Wollay Communities
Northwest,Kambia,Tonko Limba Chiefdom,Kamassasa CHC,Tonko Limba Communities
Western,Western Area Rural,Waterloo Rural Zone,Waterloo CHC,Waterloo Rural Communities
Eastern,Kenema,Lower Bambara Chiefdom,Panguma Hospital,Lower Bambara Communities
Southern,Bonthe,Imperi Chiefdom,Sierra Rutile Hospital,Imperi Communities
Northern,Koinadugu,Diang Chiefdom,Kondembaia CHC,Diang Communities
Northwest,Port Loko,Marampa Chiefdom,St John of God Hospital,Marampa Communities
Western,Western Area Urban,Freetown City Council,Princess Christian Maternity Hospital,East 1 Communities
Eastern,Kailahun,Jawei Chiefdom,Daru CHC,Jawei Communities
